17112 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.923077, Positive Class Precision: 0.888889, Positive Class Recall: 0.960000, Negative Class Precision: 0.900000, Negative Class Recall: 0.750000
17867 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.878049, Positive Class Precision: 0.818182, Positive Class Recall: 0.947368, Negative Class Precision: 0.933333, Negative Class Recall: 0.777778
17308 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.869565, Positive Class Precision: 0.833333, Positive Class Recall: 0.909091, Negative Class Precision: 0.846154, Negative Class Recall: 0.733333
17598 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.894737, Positive Class Precision: 0.809524, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.800000
17475 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.810811, F1: 0.829268, Positive Class Precision: 0.708333, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.650000
17615 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.913043, Positive Class Precision: 0.913043, Positive Class Recall: 0.913043, Negative Class Precision: 0.857143, Negative Class Recall: 0.857143
17435 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.783784, F1: 0.809524, Positive Class Precision: 0.680000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.600000
17868 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.918919, F1: 0.938776, Positive Class Precision: 0.884615, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.785714
17427 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.897959, Positive Class Precision: 0.814815, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.666667
17642 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.888889, Positive Class Precision: 0.800000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.705882
17389 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.972973, F1: 0.977778, Positive Class Precision: 0.956522, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.933333
17588 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.857143, Positive Class Precision: 0.750000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.684211
17791 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.810811, F1: 0.844444, Positive Class Precision: 0.730769, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.611111
17461 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.945946, F1: 0.947368, Positive Class Precision: 0.900000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.894737
17561 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.729730, F1: 0.687500, Positive Class Precision: 0.523810, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.615385
17875 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.871795, Positive Class Precision: 0.772727, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.750000
17523 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.857143, Positive Class Precision: 0.789474, Positive Class Recall: 0.937500, Negative Class Precision: 0.944444, Negative Class Recall: 0.809524
17518 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.918919, F1: 0.918919, Positive Class Precision: 0.850000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.850000
17735 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.783784, F1: 0.826087, Positive Class Precision: 0.703704, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.555556
17235 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.900000, Positive Class Precision: 0.818182, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.789474
17419 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.864865, Positive Class Precision: 0.842105, Positive Class Recall: 0.888889, Negative Class Precision: 0.888889, Negative Class Recall: 0.842105
17624 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.783784, F1: 0.800000, Positive Class Precision: 0.695652, Positive Class Recall: 0.941176, Negative Class Precision: 0.928571, Negative Class Recall: 0.650000
17114 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.878049, Positive Class Precision: 0.818182, Positive Class Recall: 0.947368, Negative Class Precision: 0.933333, Negative Class Recall: 0.777778
17827 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.756757, F1: 0.808511, Positive Class Precision: 0.760000, Positive Class Recall: 0.863636, Negative Class Precision: 0.750000, Negative Class Recall: 0.600000
17645 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.883721, Positive Class Precision: 0.791667, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.722222
17345 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.842105, Positive Class Precision: 0.727273, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.714286
17517 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.783784, F1: 0.826087, Positive Class Precision: 0.703704, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.555556
17694 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.863636, Positive Class Precision: 0.760000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.666667
17506 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.883721, Positive Class Precision: 0.791667, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.722222
17404 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.904762, Positive Class Precision: 0.826087, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.777778
