13834 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.918919, F1: 0.926829, Positive Class Precision: 0.904762, Positive Class Recall: 0.950000, Negative Class Precision: 0.937500, Negative Class Recall: 0.882353
13490 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.918919, F1: 0.933333, Positive Class Precision: 0.913043, Positive Class Recall: 0.954545, Negative Class Precision: 0.928571, Negative Class Recall: 0.866667
13474 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.904762, Positive Class Precision: 0.826087, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.777778
13622 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.920000, Positive Class Precision: 0.851852, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.714286
13458 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.833333, Positive Class Precision: 0.750000, Positive Class Recall: 0.937500, Negative Class Precision: 0.941176, Negative Class Recall: 0.761905
13183 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.945946, F1: 0.956522, Positive Class Precision: 0.916667, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.866667
13459 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.909091, Positive Class Precision: 0.833333, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.764706
13399 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.945946, F1: 0.961538, Positive Class Precision: 0.925926, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.833333
13348 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.878049, Positive Class Precision: 0.782609, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.736842
13436 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.888889, Positive Class Precision: 0.869565, Positive Class Recall: 0.909091, Negative Class Precision: 0.857143, Negative Class Recall: 0.800000
13423 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.883721, Positive Class Precision: 0.791667, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.722222
13661 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.863636, Positive Class Precision: 0.826087, Positive Class Recall: 0.904762, Negative Class Precision: 0.857143, Negative Class Recall: 0.750000
13443 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.894737, Positive Class Precision: 0.850000, Positive Class Recall: 0.944444, Negative Class Precision: 0.941176, Negative Class Recall: 0.842105
13648 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.909091, Positive Class Precision: 0.833333, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.764706
13503 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.857143, Positive Class Precision: 0.750000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.772727
13350 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.729730, F1: 0.761905, Positive Class Precision: 0.615385, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.523810
13519 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.897959, Positive Class Precision: 0.814815, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.666667
13984 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.882353, Positive Class Precision: 0.789474, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.818182
