17339 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.783784, F1: 0.809524, Positive Class Precision: 0.708333, Positive Class Recall: 0.944444, Negative Class Precision: 0.923077, Negative Class Recall: 0.631579
17122 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.918919, F1: 0.930233, Positive Class Precision: 0.909091, Positive Class Recall: 0.952381, Negative Class Precision: 0.933333, Negative Class Recall: 0.875000
17780 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.916667, Positive Class Precision: 0.846154, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.733333
17274 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.810811, F1: 0.844444, Positive Class Precision: 0.760000, Positive Class Recall: 0.950000, Negative Class Precision: 0.916667, Negative Class Recall: 0.647059
17733 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.878049, Positive Class Precision: 0.782609, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.736842
17413 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.909091, Positive Class Precision: 0.833333, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.764706
17302 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.833333, Positive Class Precision: 0.750000, Positive Class Recall: 0.937500, Negative Class Precision: 0.941176, Negative Class Recall: 0.761905
17751 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.833333, Positive Class Precision: 0.714286, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.727273
17762 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.918919, F1: 0.923077, Positive Class Precision: 0.857143, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.842105
17391 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.869565, Positive Class Precision: 0.769231, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.647059
17724 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.863636, Positive Class Precision: 0.760000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.666667
17893 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.857143, Positive Class Precision: 0.750000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.684211
17588 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.848485, Positive Class Precision: 0.736842, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.782609
17439 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.810811, F1: 0.837209, Positive Class Precision: 0.750000, Positive Class Recall: 0.947368, Negative Class Precision: 0.923077, Negative Class Recall: 0.666667
17319 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.878049, Positive Class Precision: 0.818182, Positive Class Recall: 0.947368, Negative Class Precision: 0.933333, Negative Class Recall: 0.777778
17156 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.810811, F1: 0.800000, Positive Class Precision: 0.666667, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.695652
18130 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.945946, F1: 0.952381, Positive Class Precision: 0.909091, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.882353
17105 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.945946, F1: 0.944444, Positive Class Precision: 0.894737, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.900000
17098 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.918919, F1: 0.933333, Positive Class Precision: 0.875000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.812500
17488 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.875000, Positive Class Precision: 0.875000, Positive Class Recall: 0.875000, Negative Class Precision: 0.769231, Negative Class Recall: 0.769231
17914 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.918919, F1: 0.930233, Positive Class Precision: 0.869565, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.823529
17125 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.756757, F1: 0.790698, Positive Class Precision: 0.680000, Positive Class Recall: 0.944444, Negative Class Precision: 0.916667, Negative Class Recall: 0.578947
17521 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.850000, Positive Class Precision: 0.739130, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.700000
17493 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.857143, Positive Class Precision: 0.750000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.684211
17316 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.888889, Positive Class Precision: 0.833333, Positive Class Recall: 0.952381, Negative Class Precision: 0.923077, Negative Class Recall: 0.750000
17528 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.810811, F1: 0.820513, Positive Class Precision: 0.695652, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.666667
18009 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.945946, F1: 0.954545, Positive Class Precision: 0.913043, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.875000
17329 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.900000, Positive Class Precision: 0.818182, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.789474
17372 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.783784, F1: 0.800000, Positive Class Precision: 0.695652, Positive Class Recall: 0.941176, Negative Class Precision: 0.928571, Negative Class Recall: 0.650000
17191 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.756757, F1: 0.790698, Positive Class Precision: 0.653846, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.550000
